{ Brand = Zaporozhets | Model = Peugeot-108 | Year = 2010 | Engine = ThreeCircleCylinders | Transmission = ContinuouslyVariable | Wheels = Steel | Interior = Carbon | Color = DarkViolet | VinCode = ER3CPB564BT4X6LH32KO8HS99RJQ6S488 | Price = 231590 | IsFitForUse = True | Status = Rented | CarId = 59d07d9d-d436-4446-a534-3e3d12d66b05 | NumberPlate = AS-P54QL-E5 | Owner =  | Engagement =  |}
{ Brand = Jeep | Model = Wrangler | Year = 2002 | Engine = Rotary | Transmission = ContinuouslyVariable | Wheels = Magnessium | Interior = Unknown | Color = IndianRed | VinCode = JW987SDWFDUPQJCIXQKQG8RTML8JLZ6XH | Price = 168713 | IsFitForUse = True | Status = 5 | CarId = cd74c472-5f6a-48db-a40e-4e157b6b0d7b | NumberPlate = QS-8NJ50-I4 | Owner =  | Engagement =  |}
{ Brand = Peugeot | Model = Multivan | Year = 1962 | Engine = TwoCylinderSimple | Transmission = SemiAutomatic | Wheels = Elastomer | Interior = Wood | Color = MediumVioletRed | VinCode = W4HEGGV88ZA04540HYYND5TFNVAZWH60V | Price = 18746 | IsFitForUse = False | Status = Available | CarId = ada5fcc7-23df-460b-bbb8-261b0a2f3a17 | NumberPlate = QF-LC8GX-EI | Owner =  | Engagement =  |}
{ Brand = Nissan | Model = VAZ-2106 | Year = 1962 | Engine = Unknown | Transmission = Unknown | Wheels = CompositeAlloy | Interior = Plastic | Color = LightSlateGray | VinCode = S3YN2NB0ITLWZ8RDO7O26WJSYZWC6SB2O | Price = 103103 | IsFitForUse = False | Status = InRepair | CarId = f4a8ea7b-f27d-45e8-9b5a-90aa0b654862 | NumberPlate = LT-AB010-EI | Owner =  | Engagement =  |}
{ Brand = Zaporozhets | Model = Serena | Year = 1966 | Engine = FourStandardCylinders | Transmission = Unknown | Wheels = Unknown | Interior = Combined | Color = FloralWhite | VinCode = A19Z01DXOKDYLNWKT71LHLRHGBH0HDW0A | Price = 12664 | IsFitForUse = False | Status = Available | CarId = 00f4c02e-cd25-4c39-a399-907c1854235d | NumberPlate = O5-PW304-ZO | Owner =  | Engagement =  |}
{ Brand = Nissan | Model = Cherokee | Year = 2005 | Engine = Flat | Transmission = Automatic | Wheels = Alloy | Interior = Combined | Color = Turquoise | VinCode = 7UQJ2UJ4NQ3PLZF9HKA3D8YV6WUP8L88H | Price = 340171 | IsFitForUse = False | Status = Sold | CarId = 33534a41-f788-499a-b819-1d20e0331876 | NumberPlate = W5-0IPR8-AD | Owner =  | Engagement =  |}
{ Brand = Jeep | Model = Skyline | Year = 1972 | Engine = FourStandardCylinders | Transmission = Manual | Wheels = Unknown | Interior = Combined | Color = Cornsilk | VinCode = U6EPC2LHK9SFSZYVKXWIAT6MSDHLCDDCN | Price = 130053 | IsFitForUse = False | Status = Unknown | CarId = 96d71878-af66-4916-9c4d-a0e4a4519737 | NumberPlate = XQ-NYQTT-PN | Owner =  | Engagement =  |}
{ Brand = Gyguli | Model = VAZ-2103 | Year = 1962 | Engine = Unknown | Transmission = Unknown | Wheels = Alloy | Interior = Unknown | Color = DarkOrchid | VinCode = B8B0P0S64M00OSFL3WXIKA3SXVLQFNLCG | Price = 110652 | IsFitForUse = True | Status = Available | CarId = 19f9f274-933e-4e84-a136-cf77e1969d89 | NumberPlate = 5O-KTJDN-HQ | Owner =  | Engagement =  |}
{ Brand = Peugeot | Model = ZAZ-966V | Year = 2015 | Engine = FourStandardCylinders | Transmission = Unknown | Wheels = Magnessium | Interior = Metal | Color = Tomato | VinCode = ZHMZY504RSQ0B3UP5X9DMHQKVKBVYI0BE | Price = 40949 | IsFitForUse = False | Status = InRepair | CarId = f391c649-5243-4e34-b7a9-2fa1fb8e6a71 | NumberPlate = KS-G85ET-DY | Owner =  | Engagement =  |}
{ Brand = Jeep | Model = Creep | Year = 2003 | Engine = Flat | Transmission = SemiAutomatic | Wheels = Chrome | Interior = Combined | Color = DarkSeaGreen | VinCode = KG474QRH0LDPTABYXDLN9KOZ9B6BKTJK6 | Price = 118244 | IsFitForUse = True | Status = Available | CarId = 9ace90a5-575b-4e66-803f-354ef45e41a8 | NumberPlate = W2-IGLH1-ST | Owner =  | Engagement =  |}
{ Brand = Volkswagen | Model = ID.3 | Year = 1990 | Engine = WingForm | Transmission = Automatic | Wheels = Forged | Interior = Combined | Color = Orchid | VinCode = C17QPBFRN4FSTFYDI4L2U4XTB1AUU1L1B | Price = 230756 | IsFitForUse = True | Status = InRepair | CarId = 1851eaca-c59a-439e-a4f9-203111db4583 | NumberPlate = 1T-M0DDA-KF | Owner =  | Engagement =  |}
